href,href_response
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.22-VeroBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.21-MurrayIsland.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.b-Clairview.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.13.a-JensenBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.09-Moore.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.08.R-KerryDaniel.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.05-Brevard.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2017.01.03-Collins.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.27-Davis.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.24-Ningaloo.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.19-Swart.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.14-Roberts.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.06-Phillips.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.12.01-Rowland.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.11.14-Zawacki.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.30-Adams.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.29-Shoup.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.24-Fitzpatrick.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.15-Hallam.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.14-Maui.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.13.R-Breach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.12-SenecaRus.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.10-Tanner.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.02-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.10.01-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.26-Allen.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17.b-Yuma.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17.a-Angiolella.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.16-BellsBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Bagnol.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.00-Breach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.15.b-Frees.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.15.a-MyrtleBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14.R-TigerBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Nel.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf,200.0
http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf,200.0
