date,year,type,country,area,location,activity,sex,injury,fatal_(y/n),time,species,href,species_sorted,age3,month_attack
23-Dec-1935,1935.0,Provoked,AUSTRALIA,Victoria,150 yards from the pier at Lorne,Cruising,NaN,"Harpooned shark stove in bow (20"" x 10"" hole), boat sank PROVOKED INCIDENT",N,,4.3 m [14'] shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.01.12-Stewart.pdf,14' shark,8.232474127360678,Dec
13-Nov-1935,1935.0,Unprovoked,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,Diving?,M,Back & arm gashed but survived,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.01.06.R-Istanbul.pdf,,20,Nov
21-Sep-1935,1935.0,Unprovoked,USA,North Carolina,"Browns Inlet on New River, Onslow Beach",Swimming,M,"FATAL, thigh bitten ",Y,Evening,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.01.05-FijianBoy.pdf,,38,Sep
Reported 04-Sep-1935,1935.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Hula,Swimming,M,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.00.00.e.R-Johanssen.pdf,,53.46911936613152,Sep
26-Aug-1935,1935.0,Unprovoked,AUSTRALIA,Queensland,"At Flat Top, near Mackay","Fell overboard, hanging onto lifebuoy",M,"FATAL. His body was not recovered, but about 3 weeks later 2 sharks were caught with human remains, thought to be those of Quinn",Y,Night,3.7 m [12'] shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.00.00.d-Bowman.pdf,12' shark,38,Aug
24-Aug-1935,1935.0,Invalid,UNITED KINGDOM,Isle of Wight,Atherfield,Fishing,M,"The hooked shark didn't cut his finger, he was injured by his line",NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.00.00.c-Jones.pdf,,21.5350452212181,Aug
13-Aug-1935,1935.0,Unprovoked,AUSTRALIA,Torres Strait,"Near Warrior Reefs, Queensland",Diving for beche-de-mer from lugger,M,"FATAL, right buttock & thigh bitten ",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.00.00.b-Luckie.pdf,,57.440611361494156,Aug
27-Jul-1935,1935.0,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,"Although listed as an uprovoked fatal attack by SAF, shark bite on his ankle was post-mortem following death by drowning",NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1929.00.00.a-Holm.pdf,,23,Jul
27-Jul-1935,1935.0,Invalid,USA,California,Santa Barbara Channel,fishing boat exploded & sank,M,"Although listed as  an uprovoked fatal attack by SAF, he was killed by the explosion. The shark bites were post-mortem ",NaN,,Invalid,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.12.21-Rueben.pdf,,53,Jul
05-Jul-1935,1935.0,Unprovoked,PANAMA,,off Culebra,"Fishing with dynamite, afterwards in water retrieving catch",M,"FATAL, leg severed ",Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.11.18-SeaBright.pdf,,14,Jul
01-Jul-1935,1935.0,Unprovoked,CROATIA,Adriatic Sea,"Susak / Fiume (Rijeka, Istria)",Swimming,F,FATAL,Y,Afternoon,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.11.15.R-Wright.pdf,,22,Jul
18-Jun-1935,1935.0,Unprovoked,USA,New Jersey,50 miles offshore,"Fishing for bluefish, shark leapt into dory",M,Arm lacerated by a shark that leapt onto boat ,N,,4.6 m [15'] shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.11.12-Vestris-DeVore.pdf,15' shark,31,Jun
Reported 05-Jun-1935,1935.0,Unprovoked,SOLOMON ISLANDS,Makira-Uluwa Province,Makira Island,Fishing,M,FATAL,Y,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.11.04-Moreno.pdf,,23.048299966505517,Jun
Jun-1935,1935.0,Boating,AUSTRALIA,South Australia,Off Port Broughton,,NaN,Shark bumped dinghy twice,N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.09.00-Loesberg.pdf,,32.35737507599785,Jun
Jun-1935,1935.0,Unprovoked,PAPUA NEW GUINEA,Northern (Oro) Province,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",,NaN,"Samoan missionary, Filemani, caught an 8'6"" shark after it had killed 1 man & 2 boys in space of few weeks",N,,nan,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.08.24.R-Thumb.pdf,,21.569082886215167,Jun
19-May-1935,1935.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,"North Pier, Durban",Put foot inside a landed & supposedly dead shark,M,"Foot bitten, required 1 week hospitalization PROVOKED INCIDENT",N,,"White shark, 246-kg ",http://sharkattackfile.net/spreadsheets/pdf_directory/1928.07.11-Poid.pdf,White shark,14.784068216621984,May
12-May-1935,1935.0,Unprovoked,AUSTRALIA,Torres Strait,On edge of reef near Warrior Island,Pearl diving,M,3 gashes on hand & wrist,N,,1.8 m [6'] shark,http://sharkattackfile.net/spreadsheets/pdf_directory/1928.07.00-Bagolini.pdf,6' shark,27.69449736601763,May
